CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
NUTS & SEEDS,SUMA BAGGED DOWN,NU017,Brazil - broken,,5 KG,39.55,,,,,G,,,V
FRUIT - DRIED,SUMA PREPACKS,DR085,Incan Berries,Cape Gooseberries,6 X 125G,9.56,,2.12,,,G,,,V
SUPPLEMENTS & REMEDIES,CONSCIOUS FOODS,VM136,D'Mix - fusion of seeds,chew to aid digestion,1 X 100G,9.37,1,14.99,,,G,,,V
SOFT DRINKS,CHI,JU356,Espresso Coconut Milk,,12 X 330ML,13.42,1,1.79,,,G,,S,V
READY MEALS (FROZEN),CLIVE'S,XL039,Vegetable Chilli Pasty,,6 X 190G,10.32,,2.29,,,,O,S,V
PASTA,ORGRAN,WT110,Corn & Vegetable Pasta Spirals,,7 X 250G,10.45,,1.99,,,G,,,V
CRISPS & SNACKS,CLEARSPRING,ZX226,Tamari Roast Sicilian Almonds,Provides Vit E;fibre & protein,15 X 30G,13.82,1,1.49,,,G,O,,
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU201,Almonds - organic,,1 KG,13.89,,,,,G,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS064,Black Cherry Spread,,6 X 284G,9.07,,2.05,,,G,,,V
CHOCOLATE,DIVINE,ZX498,70% Dark Chocolate,,15 X 100G,19.2,1,2.05,,F,G,,S,V
HONEY,LITTLEOVER APIARIES,HY039,Pure Lavender Honey,,4 X 340G,10.84,,3.75,,,G,,,
BISCUITS CRACKERS & CRISPBREAD,DOVES FARM,BT092,Organic Digestive Biscuits,,12 X 400G,17.9,,1.99,,,,O,,
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE182,Chamomile - og,,6 X 20 BAGS,6.26,,1.39,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,EASY BEAN,BT204,Chickpea Crispbread - Moroccan,,8 X 110G,17.6,,2.95,,,G,,,
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ206,Washing Powder Zero,Non Bio,3 X 1.88KG,17.34,1,9.25,,,,,,
BABY & CHILD FOOD,ELLA'S KITCHEN,BB006,Carrot; Apple & Parsnip,from 4 months,7 X 120G,6.25,,1.19,,,G,O,,V
HERB & FRUIT INFUSIONS,ESSENTIAL TRADING,TE279,Peppermint Tea,Demeter organic,6 X 20BAGS,5.04,,1.15,,,,O,,V
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ180,Laundry Liquid,Bulk,5L,13.25,1,21.2,,,,,,V
SOFT DRINKS,FENTIMANS,JU755,Tonic Water Light,cluster packs,6 X 4X200ML,13.5,1,3.58,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,FOSTERS,BT348,Camper Van Tin,Contains Mini Shortbreads,6 X 200G,40.8,,9.25,,,,,S,
SWEET SNACKS,GOODY GOOD STUFF,ZX148,Koala Gummy Bears,,12 X 100G,10.8,1,1.45,,,G,,S,
DAIRY DESSERTS (FROZEN),GREEN & BLACKS,XL186,OG Vanilla & Chocolate Swirl,,6 X 500ML,18.53,1,4.95,,,G,O,S,
CRISPS & SNACKS,BROWN BAG CRISPS,ZX269,Oak Smoked Chilli,,10 X 150G,12.22,1,1.95,,,G,,S,V
BEANS & PULSES - DRIED,SUMA COMMODITIES,PU022,Lentils - green,,25 KG,24.25,,,,,G,,,V
HONEY,COMVITA,HY155,5+ Manuka Honey,,3 X 500G,42.73,,18.99,,,G,,,
NUTS & SEEDS,SUMA COMMODITIES,NU028,Hazelnuts,,25 KG,178,,,,,,,,
OILS & FATS,SUMA,GT100,Grapeseed Oil,,6 X 500ML,16.42,,3.65,,,G,,,V
BEANS & PULSES - CANNED,HODMEDOD,VF130,Fava Beans - whole,UK grown,12 X 400G,8.95,,0.99,,,,,,V
HERB & FRUIT INFUSIONS,HAMPSTEAD TEA,TE439,Peppermint Tea - og,,6 X 20BAGS,8.96,,1.99,B,F,G,O,,V
CRISPS & SNACKS,SUMA COMMODITIES,ZX132,Rice Crackers - Yakko Mix,,7.5 KG,37.2,,,,,,,,
SUGARS & SYRUPS,BILLINGTONS,LJ058,Sugar - Demerara,,10 X 500 G,10.88,,1.45,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,KALLO,BT011,Salt & Vinegar Corn/Rice Snack,,12 X 25G,5.63,1,0.75,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,LES PAIN DES FLEURS,BT095,Chestnut Crispbread,,6 X 125G,14.25,,3.15,,,G,O,,V
SNACK BARS & FLAPJACKS,LYME REGIS FOODS,KB052,Mixed Berry,,24 X 35G,9.75,1,0.65,,,,O,,V
BAKING SUNDRIES,ENGEVITA,LJ020,Yeast Flakes with Vitamin B12,,6 X 125G,13.24,,2.95,,,G,,,V
JAMS & FRUIT SPREADS,MERIDIAN,JS100,Wild Blueberry Spread - og,,6 X 284G,11.2,,2.49,,,G,O,,V
BODYCARE,MIZU FROM ECOVER,DY985,Body Wash - Lavender,With Aloe Vera,6 X 250ML,14,1,3.75,,,,,,
PEANUT; SEED & NUT BUTTERS,BIONA,GH076,Pumpkin Seed Butter Organic,,6 X 170G,13.46,,2.99,,,,O,,V
MUESLIS & BREAKFAST CEREALS,SUMA MUESLI - BAG IN BOX,MX095,Luxury Tropical Muesli,,6 X 750G,9.16,,2.05,,,,,,V
HOUSEHOLD CLEANING PRODUCTS,EARTH FRIENDLY,HJ122,Unifresh Citrus Air Freshener,Citrus-Lemongrass,6 X 130ML,18.36,1,4.89,,,,,,V
OLIVES,SUNITA,KJ097,Green Olives,,12 X 1 LB,20.58,,2.29,,,G,,,V
MILK - NON DAIRY,ECOMIL,SY119,Almond Drink - Vanilla,,12 X 1L,24.09,,2.69,,,G,O,,V
SOUPS,SUMA,VF600,Lentil & Courgette Soup,,12 X 420G,11.6,,1.29,,,,O,,V
SWEET SNACKS,PEPPERSMITH,ZX590,Sicilian Lemon Peppermints,,12 X 15G,11.21,1,1.49,,,G,,,V
CHOCOLATE,PLAMIL,KB786,No Added Sugar with Mint,,6 X 100G,9.08,1,2.42,,,G,,,V
MILK - NON DAIRY,PROVAMEL,SY011,Coconut & Rice Drink,,12 X 1L,16.12,,1.79,,,G,O,,V
FLOURS & BREAD MIXES,BOBS RED MILL,FG121,Tapioca Flour Gluten Free,,4 X 500G,12.86,,4.29,,,G,,,V
